id_trip,lat,long
1889461,45.53516781,-73.57244897
2071991,45.53706118,-73.62516751
1667922,45.52093027,-73.58983065
2072003,45.52495198,-73.60437498
2072007,45.51463347,-73.58483432
2072009,45.51042743,-73.57569514
2072019,45.4958293,-73.57704525
2542944,45.51957278,-73.58685037
2072031,45.53860753,-73.60570598
2542948,45.52289498,-73.58057332
2072051,45.53401402,-73.60057592
2072054,45.54000781,-73.5995815
1667928,45.53291762,-73.57457157
1746130,45.53291762,-73.57457157
3054750,45.5341309,-73.59568662
3054751,45.53917788,-73.59573861
3054754,45.53640603,-73.59837849
3204769,45.53925135,-73.60998909
3338247,45.53718114,-73.59769639
3204793,45.53245174,-73.61136874
3204797,45.53245174,-73.61136874
3204802,45.53858968,-73.60084268
3078178,45.52234583,-73.59129837
1743881,45.53640603,-73.59837849
1743890,45.52403027,-73.60055031
1743891,45.5241682,-73.58891641
1743893,45.51473321,-73.58474395
1743900,45.52366098,-73.60551376
1743922,45.5361264,-73.60307137
3587862,45.45252228,-73.57229553
3593191,45.56535971,-73.7327153
3414896,45.45028289,-73.45681776
3225221,45.47210963,-73.46749244
3225235,45.53335674,-73.59395783
3587870,45.4553866,-73.56769227
3587871,45.45730799,-73.58843266
3587872,45.45575909,-73.57633714
3225240,45.53334188,-73.61333424
3587876,45.45252225,-73.57229548
3225257,45.54000781,-73.5995815
1734086,45.53564172,-73.59907804
3587881,45.45306221,-73.57222825
3587889,45.51532888,-73.55394649
3185322,45.50935182,-73.57956734
1940176,45.49667955,-73.57878514
3412544,45.49087005,-73.58486178
3582923,45.48002099,-73.59740046
3412549,45.48002099,-73.59740046
3587893,45.49330331,-73.55743182
3582540,45.48186277,-73.59538785
3412557,45.51073536,-73.57824239
3412558,45.53705397,-73.6022446
3412561,45.55629498,-73.61816649
3412562,45.53338586,-73.65294651
3412563,45.51965554,-73.62438658
1981921,45.53927656,-73.60021848
1920574,45.54000781,-73.5995815
2865929,45.54000781,-73.5995815
2865930,45.54897334,-73.59156746
